ORD100000,30/01/2021,ASICS,Model-370,Running,Unisex,8,Black,162,15,137.7,1,137.7,Card,Retail Store,Germany,4.6
ORD100001,05/10/2026,Reebok,Model-314,Lifestyle,Men,8,Grey,80,5,76,3,228,Card,Online,USA,3.9
ORD100002,12/11/2023,ASICS,Model-763,Lifestyle,Men,8,Black,176,15,149.6,4,598.4,Cash,Retail Store,India,3
ORD100003,29/08/2026,Reebok,Model-905,Basketball,Women,7,White,61,15,51.85,2,103.7,Card,Retail Store,India,3.4
ORD100004,09/11/2019,Nike,Model-413,Training,Men,11,Black,80,0,80,4,320,Cash,Online,USA,3
ORD100005,27/08/2021,Nike,Model-158,Gym,Unisex,7,Grey,148,0,148,3,444,Wallet,Retail Store,UK,3.1
ORD100006,21/02/2019,Reebok,Model-786,Gym,Women,11,Black,74,30,51.8,2,103.6,Bank Transfer,Online,UAE,3.4
ORD100007,17/05/2020,New Balance,Model-604,Lifestyle,Women,8,White,114,15,96.9,4,387.6,Bank Transfer,Online,USA,4.7
ORD100008,30/03/2022,New Balance,Model-266,Running,Unisex,7,Grey,194,20,155.2,1,155.2,Bank Transfer,Retail Store,UK,4.9
ORD100009,11/03/2026,Nike,Model-876,Gym,Unisex,7,Black,119,30,83.3,2,166.6,Card,Retail Store,USA,3.2
ORD100010,06/04/2022,Adidas,Model-554,Running,Men,9,Blue,143,15,121.55,3,364.65,Card,Online,UAE,4
ORD100011,20/05/2020,Nike,Model-661,Gym,Men,9,Blue,94,30,65.8,1,65.8,Bank Transfer,Online,Germany,3.6
ORD100012,20/09/2025,Puma,Model-871,Lifestyle,Men,11,White,193,30,135.1,2,270.2,Wallet,Retail Store,UAE,3.1
ORD100013,07/12/2023,Adidas,Model-261,Training,Unisex,7,Black,205,5,194.75,4,779,Bank Transfer,Retail Store,USA,4.8
ORD100014,03/01/2026,Reebok,Model-351,Training,Women,6,White,73,30,51.1,3,153.3,Wallet,Online,USA,4.9
ORD100015,06/04/2021,Adidas,Model-316,Running,Unisex,9,Black,141,20,112.8,4,451.2,Cash,Retail Store,UK,4.2
ORD100016,15/04/2024,Puma,Model-912,Running,Men,6,Grey,100,20,80,3,240,Cash,Online,India,3
ORD100017,09/11/2023,Reebok,Model-747,Training,Women,8,White,68,0,68,4,272,Card,Retail Store,Pakistan,3.4
ORD100018,07/02/2022,Adidas,Model-388,Lifestyle,Women,8,Red,195,10,175.5,3,526.5,Card,Retail Store,Germany,3.1
ORD100019,22/05/2023,Adidas,Model-300,Gym,Men,9,Black,100,15,85,3,255,Wallet,Online,India,3.7
